mach,altitude_m,h_m,r_m,theta_deg,T_ambient_K,P_ambient_Pa,p_recovery,dc60,meets_mil,P_fan_face_Pa,T2_K,P2_Pa,T3_K,P3_Pa,T4_K,P4_Pa,thrust_N,tsfc,isp_s,fuel_flow_kg_s,V_exit_m_s
1.6,0,0.25,0.04,15.0,288.15,101325.0,0.985852,0.107781,1,99891.5,708.51,1798046.2,1555.67,1744104.9,1088.61,413703.9,2963.63,0.00033742,302.103,1.0,603.74
1.6,0,0.25,0.04,20.0,288.15,101325.0,0.990036,0.10548,1,100315.4,708.51,1805677.9,1555.67,1751507.6,1088.61,415459.8,2963.63,0.00033742,302.103,1.0,603.74
1.6,0,0.25,0.04,25.0,288.15,101325.0,0.979823,0.111097,1,99280.6,708.51,1787051.0,1555.67,1733439.4,1088.61,411174.0,2963.63,0.00033742,302.103,1.0,603.74
1.6,5000,0.05,0.04,5.0,255.65,54018.5,0.957265,0.043504,0,51710.0,628.6,930779.3,1475.76,902856.0,1061.38,239163.8,4164.82,0.00024011,424.549,1.0,596.141
1.6,5000,0.05,0.04,10.0,255.65,54018.5,0.991442,0.024707,1,53556.2,628.6,964011.1,1475.76,935090.8,1061.38,247702.7,4164.82,0.00024011,424.549,1.0,596.141
1.6,5000,0.05,0.04,15.0,255.65,54018.5,0.985852,0.027781,1,53254.2,628.6,958575.8,1475.76,929818.6,1061.38,246306.1,4164.82,0.00024011,424.549,1.0,596.141
1.6,5000,0.05,0.04,20.0,255.65,54018.5,0.990036,0.02548,1,53480.2,628.6,962644.5,1475.76,933765.1,1061.38,247351.5,4164.82,0.00024011,424.549,1.0,596.141
1.6,5000,0.05,0.04,25.0,255.65,54018.5,0.979823,0.031097,1,52928.6,628.6,952714.0,1475.76,924132.6,1061.38,244799.9,4164.82,0.00024011,424.549,1.0,596.141
1.6,5000,0.1,0.04,5.0,255.65,54018.5,0.957265,0.063504,0,51710.0,628.6,930779.3,1475.76,902856.0,1061.38,239163.8,4164.82,0.00024011,424.549,1.0,596.141
1.6,5000,0.1,0.04,10.0,255.65,54018.5,0.991442,0.044707,1,53556.2,628.6,964011.1,1475.76,935090.8,1061.38,247702.7,4164.82,0.00024011,424.549,1.0,596.141
1.6,5000,0.1,0.04,15.0,255.65,54018.5,0.985852,0.047781,1,53254.2,628.6,958575.8,1475.76,929818.6,1061.38,246306.1,4164.82,0.00024011,424.549,1.0,596.141
1.6,5000,0.1,0.04,20.0,255.65,54018.5,0.990036,0.04548,1,53480.2,628.6,962644.5,1475.76,933765.1,1061.38,247351.5,4164.82,0.00024011,424.549,1.0,596.141
1.6,5000,0.1,0.04,25.0,255.65,54018.5,0.979823,0.051097,1,52928.6,628.6,952714.0,1475.76,924132.6,1061.38,244799.9,4164.82,0.00024011,424.549,1.0,596.141
1.6,5000,0.15,0.04,5.0,255.65,54018.5,0.957265,0.083504,0,51710.0,628.6,930779.3,1475.76,902856.0,1061.38,239163.8,4164.82,0.00024011,424.549,1.0,596.141
1.6,5000,0.15,0.04,10.0,255.65,54018.5,0.991442,0.064707,1,53556.2,628.6,964011.1,1475.76,935090.8,1061.38,247702.7,4164.82,0.00024011,424.549,1.0,596.141
1.6,5000,0.15,0.04,15.0,255.65,54018.5,0.985852,0.067781,1,53254.2,628.6,958575.8,1475.76,929818.6,1061.38,246306.1,4164.82,0.00024011,424.549,1.0,596.141
1.6,5000,0.15,0.04,20.0,255.65,54018.5,0.990036,0.06548,1,53480.2,628.6,962644.5,1475.76,933765.1,1061.38,247351.5,4164.82,0.00024011,424.549,1.0,596.141
1.6,5000,0.15,0.04,25.0,255.65,54018.5,0.979823,0.071097,1,52928.6,628.6,952714.0,1475.76,924132.6,1061.38,244799.9,4164.82,0.00024011,424.549,1.0,596.141
1.6,5000,0.2,0.04,5.0,255.65,54018.5,0.957265,0.103504,0,51710.0,628.6,930779.3,1475.76,902856.0,1061.38,239163.8,4164.82,0.00024011,424.549,1.0,596.141
1.6,5000,0.2,0.04,10.0,255.65,54018.5,0.991442,0.084707,1,53556.2,628.6,964011.1,1475.76,935090.8,1061.38,247702.7,4164.82,0.00024011,424.549,1.0,596.141
1.6,5000,0.2,0.04,15.0,255.65,54018.5,0.985852,0.087781,1,53254.2,628.6,958575.8,1475.76,929818.6,1061.38,246306.1,4164.82,0.00024011,424.549,1.0,596.141
1.6,5000,0.2,0.04,20.0,255.65,54018.5,0.990036,0.08548,1,53480.2,628.6,962644.5,1475.76,933765.1,1061.38,247351.5,4164.82,0.00024011,424.549,1.0,596.141
1.6,5000,0.2,0.04,25.0,255.65,54018.5,0.979823,0.091097,1,52928.6,628.6,952714.0,1475.76,924132.6,1061.38,244799.9,4164.82,0.00024011,424.549,1.0,596.141
1.6,5000,0.25,0.04,5.0,255.65,54018.5,0.957265,0.123504,0,51710.0,628.6,930779.3,1475.76,902856.0,1061.38,239163.8,4164.82,0.00024011,424.549,1.0,596.141
1.6,5000,0.25,0.04,10.0,255.65,54018.5,0.991442,0.104707,1,53556.2,628.6,964011.1,1475.76,935090.8,1061.38,247702.7,4164.82,0.00024011,424.549,1.0,596.141
1.6,5000,0.25,0.04,15.0,255.65,54018.5,0.985852,0.107781,1,53254.2,628.6,958575.8,1475.76,929818.6,1061.38,246306.1,4164.82,0.00024011,424.549,1.0,596.141
1.6,5000,0.25,0.04,20.0,255.65,54018.5,0.990036,0.10548,1,53480.2,628.6,962644.5,1475.76,933765.1,1061.38,247351.5,4164.82,0.00024011,424.549,1.0,596.141
1.6,5000,0.25,0.04,25.0,255.65,54018.5,0.979823,0.111097,1,52928.6,628.6,952714.0,1475.76,924132.6,1061.38,244799.9,4164.82,0.00024011,424.549,1.0,596.141
1.6,10000,0.05,0.04,5.0,223.15,26434.8,0.957265,0.043504,0,25305.1,548.68,455491.0,1395.85,441826.3,1034.14,131909.4,5465.24,0.00018297,557.109,1.0,588.444
1.6,10000,0.05,0.04,10.0,223.15,26434.8,0.991442,0.024707,1,26208.5,548.68,471753.5,1395.85,457600.8,1034.14,136618.9,5465.24,0.00018297,557.109,1.0,588.444
1.6,10000,0.05,0.04,15.0,223.15,26434.8,0.985852,0.027781,1,26060.8,548.68,469093.6,1395.85,455020.8,1034.14,135848.7,5465.24,0.00018297,557.109,1.0,588.444
1.6,10000,0.05,0.04,20.0,223.15,26434.8,0.990036,0.02548,1,26171.4,548.68,471084.7,1395.85,456952.1,1034.14,136425.3,5465.24,0.00018297,557.109,1.0,588.444
1.6,10000,0.05,0.04,25.0,223.15,26434.8,0.979823,0.031097,1,25901.4,548.68,466225.1,1395.85,452238.3,1034.14,135017.9,5465.24,0.00018297,557.109,1.0,588.444
1.6,10000,0.1,0.04,5.0,223.15,26434.8,0.957265,0.063504,0,25305.1,548.68,455491.0,1395.85,441826.3,1034.14,131909.4,5465.24,0.00018297,557.109,1.0,588.444
1.6,10000,0.1,0.04,10.0,223.15,26434.8,0.991442,0.044707,1,26208.5,548.68,471753.5,1395.85,457600.8,1034.14,136618.9,5465.24,0.00018297,557.109,1.0,588.444
1.6,10000,0.1,0.04,15.0,223.15,26434.8,0.985852,0.047781,1,26060.8,548.68,469093.6,1395.85,455020.8,1034.14,135848.7,5465.24,0.00018297,557.109,1.0,588.444
1.6,10000,0.1,0.04,20.0,223.15,26434.8,0.990036,0.04548,1,26171.4,548.68,471084.7,1395.85,456952.1,1034.14,136425.3,5465.24,0.00018297,557.109,1.0,588.444
1.6,10000,0.1,0.04,25.0,223.15,26434.8,0.979823,0.051097,1,25901.4,548.68,466225.1,1395.85,452238.3,1034.14,135017.9,5465.24,0.00018297,557.109,1.0,588.444
1.6,10000,0.15,0.04,5.0,223.15,26434.8,0.957265,0.083504,0,25305.1,548.68,455491.0,1395.85,441826.3,1034.14,131909.4,5465.24,0.00018297,557.109,1.0,588.444
